sample,section,sweep_index,file_name,R_pos_0_to_0p5_ohm,R_neg_m0p5_to_0_ohm,R_pos_label,R_neg_label,ohmic,switching_voltages_V
6_ITO,A,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,6716.475823265276,6218.520988774926,6.72 kΩ,6.22 kΩ,X,0.05;-0.05
6_ITO,A,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,6210.5079345538115,6315.192977592021,6.21 kΩ,6.32 kΩ,X,0.05;-0.05
6_ITO,A,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,6823.7147264628975,9581.01372666248,6.82 kΩ,9.58 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,B,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,16173.233765006611,17118.057737367762,16.2 kΩ,17.1 kΩ,X,0.05;-0.05
6_ITO,B,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,17141.403551835956,16637.4702831013,17.1 kΩ,16.6 kΩ,X,0.05;-0.05
6_ITO,B,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,17704.25188854206,16714.332227884548,17.7 kΩ,16.7 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,D,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4566.639302674662,4516.380427791965,4.57 kΩ,4.52 kΩ,X,0.05;-0.05
6_ITO,D,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,4543.342717153383,4536.957531057194,4.54 kΩ,4.54 kΩ,X,0.05;-0.05
6_ITO,D,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4450.831230657117,4436.517201566734,4.45 kΩ,4.44 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,E,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,14238.677486274111,14044.939391170805,14.2 kΩ,14 kΩ,X,0.05;-0.05
6_ITO,E,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,14327.999721791188,14044.74346282902,14.3 kΩ,14 kΩ,X,0.05;-0.05
6_ITO,E,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,14357.140031862802,14132.961535943881,14.4 kΩ,14.1 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,F,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11891.023525795496,11895.470639077548,11.9 kΩ,11.9 kΩ,X,0.05;-0.05
6_ITO,F,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11884.933873416427,11904.882978231655,11.9 kΩ,11.9 kΩ,X,0.05;-0.05
6_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,11894.042516939966,11909.58776897246,11.9 kΩ,11.9 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,G,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3855.6041613870348,3854.90834860847,3.86 kΩ,3.85 kΩ,X,0.05;-0.05
6_ITO,G,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3855.6066496876774,3856.107476546192,3.86 kΩ,3.86 kΩ,X,0.05;-0.05
6_ITO,G,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3854.60754409655,3854.9973583630613,3.85 kΩ,3.85 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,H,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11294.642829648315,11182.921243494342,11.3 kΩ,11.2 kΩ,X,0.05;-0.05
6_ITO,H,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,11426.951972953453,11186.179341189812,11.4 kΩ,11.2 kΩ,X,0.05;-0.05
6_ITO,H,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,11219.369928038403,11037.312167251488,11.2 kΩ,11 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,I,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,9481.065184936699,9483.403561545178,9.48 kΩ,9.48 kΩ,X,0.05;-0.05
6_ITO,I,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,9482.059628243529,9486.203309949104,9.48 kΩ,9.49 kΩ,X,0.05;-0.05
6_ITO,I,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,9485.69273557549,9485.889417366672,9.49 kΩ,9.49 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,K,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3979.9029917418893,3979.459232786542,3.98 kΩ,3.98 kΩ,X,0.05;-0.05
6_ITO,K,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,3972.074275065237,3964.4859086879233,3.97 kΩ,3.96 kΩ,X,0.05;-0.05
6_ITO,K,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3957.58406510437,3956.678198515185,3.96 kΩ,3.96 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
6_ITO,L,1,1-FS-0.5v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,33055.666998717505,32538.472456890016,33.1 kΩ,32.5 kΩ,X,0.05;-0.05
6_ITO,L,2,2-FS-3v-0.1sv-0.05sd-Py-ITO_TEST-1-.txt,26970.333563556607,37693.468897607054,27 kΩ,37.7 kΩ,X,0.05;-0.05
6_ITO,L,3,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,18953.113528726753,16414.215036317193,19 kΩ,16.4 kΩ,X,0.1;-0.1;0.1;-0.1;0.1;-0.1
