filename,base_sample_name,scan_x_um,scan_y_um,scan_area_um2,pixel_nm,sharpness_score,line_correlation,Ra_nm,Rq_nm,Rz_nm,Rpv_nm,Rsk,Rku,z_min_nm,z_max_nm,z_mean_nm,z_p01_nm,z_p50_nm,z_p99_nm,hole_thresh_nm,prot_thresh_nm,pct_surface_holes,pct_surface_prots,pct_surface_total,n_holes,holes_per_um2,avg_hole_depth_nm,std_hole_depth_nm,avg_hole_diameter_nm,std_hole_diameter_nm,n_protrusions,prots_per_um2,avg_prot_height_nm,std_prot_height_nm,avg_prot_diameter_nm,std_prot_diameter_nm,fixdep_0p5_pct,fixdep_0p8_pct,fixdep_1p0_pct,fixdep_1p2_pct,fixdep_1p5_pct,fixdep_2_pct,fixdep_5_pct,fixdep_median_ref_nm
12_Hour_Tg_0001.ibw,12_Hour_Tg,5.0098,5.0098,25.0979,9.7847,0.7469,0.9343,0.455299,0.607938,12.310829,3.175809,-0.6008,6.7945,-4.675795,7.635034,0.0,-1.8754,0.0282,1.3004,-1.5353,1.4783,1.2878,0.1495,1.4374,68,2.7094,2.709,0.626,68.383,37.092,32,1.275,2.163,1.063,35.743,14.685,18.087407,8.228148,4.933827,3.150123,1.854321,0.879012,0.0,0.002545
12_Hour_Tg_0002.ibw,12_Hour_Tg,5.0098,5.0098,25.0979,9.7847,0.2362,0.9448,0.510551,0.982586,24.041735,3.342774,8.4772,129.6606,-4.16405,19.877685,0.0,-1.6712,-0.025,1.6716,-2.29,2.2528,0.1591,0.4547,0.6138,27,1.0758,2.836,0.251,40.425,15.763,4,0.1594,8.656,6.128,141.575,127.603,19.058765,9.049383,5.411852,3.178765,1.462716,0.446914,0.0,-0.030593
12_Hour_Tg_0003.ibw,12_Hour_Tg,5.0098,5.0098,25.0979,9.7847,0.678,0.9393,0.431675,0.566804,8.129948,2.835187,0.1783,5.2689,-2.94279,5.187158,0.0,-1.4322,0.0022,1.403,-1.3756,1.3535,0.787,0.4623,1.2493,65,2.5899,1.974,0.357,54.756,29.51,50,1.9922,2.191,0.849,45.854,29.195,16.448395,6.542222,3.451358,1.855802,0.753086,0.138272,0.0,-0.004356
12_Hour_Tg_0004.ibw,12_Hour_Tg,5.0098,5.0098,25.0979,9.7847,0.6607,0.9364,0.425159,0.58871,18.461849,2.582625,2.4441,42.2948,-2.613499,15.84835,-0.0,-1.3241,-0.0036,1.2585,-1.5038,1.508,0.346,0.3838,0.7298,47,1.8727,1.95,0.229,44.236,19.889,31,1.2352,2.854,2.487,48.966,39.474,16.522469,6.488395,3.290864,1.576296,0.522469,0.071111,0.0,-0.003222
12_Hour_Tg_0005.ibw,12_Hour_Tg,5.0098,5.0098,25.0979,9.7847,0.6531,0.9308,0.403016,0.604102,13.656126,2.521983,3.7042,47.0575,-2.213024,11.443102,-0.0,-1.2042,-0.0162,1.3177,-1.5986,1.5904,0.0687,0.7301,0.7988,10,0.3984,1.972,0.147,42.196,20.336,26,1.0359,3.65,2.098,73.771,59.426,14.958519,5.137778,2.314568,0.955556,0.207407,0.00642,0.0,-0.027709
12_Hour_intitial0003.ibw,12_Hour_intitial,10.0196,10.0196,100.3918,19.5695,0.1795,0.9695,1.478767,2.003345,22.539044,10.405615,-1.105,6.2389,-15.736152,6.802892,-0.0,-6.5667,0.2067,3.8389,-4.88,4.8507,1.9348,0.0946,2.0294,175,1.7432,8.359,2.078,101.824,61.353,13,0.1295,5.787,0.516,90.266,33.972,38.071615,31.703125,27.844184,24.34158,19.722222,13.612413,2.332031,0.173062
No_Anneal_0000.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.1976,0.9818,0.661993,0.848406,10.100938,3.969768,0.0738,4.3048,-5.845919,4.255019,0.0,-1.8476,-0.0148,2.1222,-2.2263,2.1493,0.4044,0.8526,1.2569,35,1.3945,3.286,0.743,51.527,32.2,17,0.6773,2.529,0.463,68.254,106.621,28.006914,17.034074,11.25284,6.910123,2.96642,0.721481,0.012346,-0.050013
No_Anneal_0001.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2426,0.9806,0.597713,0.75721,8.250022,3.613842,-0.2895,3.666,-4.945317,3.304705,0.0,-1.9935,0.0082,1.6203,-1.7705,1.7664,0.9274,0.2148,1.1421,51,2.032,2.785,0.597,57.565,49.969,23,0.9164,2.015,0.142,44.797,31.259,22.807407,11.419753,6.84642,3.961481,1.991605,0.815802,0.0,-0.004432
No_Anneal_0002.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2421,0.9769,0.593309,0.764631,9.249283,3.722649,0.1186,4.137,-4.44324,4.806043,0.0,-1.7849,-0.0356,1.9377,-1.7746,1.8469,0.6042,0.6763,1.2806,54,2.1516,2.728,0.559,52.711,28.236,18,0.7172,2.186,0.301,75.427,79.485,22.189136,10.927407,6.393086,3.706667,1.697284,0.544198,0.0,0.008421
No_Anneal_0003.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2204,0.9824,0.621086,0.79101,7.73214,3.769192,0.0529,3.512,-4.408596,3.323545,-0.0,-1.8022,-0.0103,1.967,-1.9367,1.8785,0.4635,0.7572,1.2207,48,1.9125,2.779,0.624,49.977,24.249,18,0.7172,2.254,0.286,68.0,93.91,24.543704,13.439506,8.490864,5.127407,2.171358,0.500247,0.0,-0.038983
No_Anneal_0004.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2925,0.9771,0.546788,0.698452,8.402346,3.2718,-0.2787,3.8853,-3.990689,4.411657,-0.0,-1.7498,0.0268,1.522,-1.7345,1.7036,0.7721,0.2598,1.0319,79,3.1477,2.529,0.566,49.025,26.826,16,0.6375,2.085,0.226,60.681,38.81,23.360494,12.70716,8.108148,4.973827,2.14716,0.565432,0.0,0.012255
No_Anneal_0005.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2598,0.9789,0.592127,0.74355,6.964104,3.523269,-0.2996,3.4071,-4.238347,2.725757,0.0,-1.94,0.0186,1.5833,-1.8452,1.8052,0.6939,0.3147,1.0086,61,2.4305,2.786,0.665,51.562,31.247,18,0.7172,2.158,0.171,58.333,46.737,24.661728,13.723457,8.54321,4.94716,2.149136,0.665185,0.0,-0.009215
No_Anneal_0006.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.1887,0.983,0.689513,0.868442,9.762837,3.983796,0.2434,4.0973,-4.476176,5.286661,-0.0,-1.8885,-0.026,2.0953,-2.1439,2.1621,0.3277,0.631,0.9586,48,1.9125,2.932,0.532,42.239,19.934,8,0.3188,2.753,0.973,95.597,126.746,28.386173,17.551605,11.634568,7.199012,3.105185,0.677037,0.0,0.002036
No_Anneal_0007.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.216,0.9777,0.597273,0.807258,8.915586,4.627851,0.2877,5.0875,-4.874849,4.040737,0.0,-2.0918,-0.0224,2.5361,-2.0954,2.1489,0.8327,1.6193,2.4521,50,1.9922,3.065,0.612,51.84,51.331,13,0.518,2.508,0.445,89.302,178.41,24.05679,13.076049,8.560494,5.855309,3.56,1.433086,0.0,0.007182
No_Anneal_0008.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2455,0.9778,0.58614,0.745287,8.760918,3.473204,0.0369,3.8118,-5.216165,3.544753,-0.0,-1.6456,-0.0102,1.8276,-1.8958,1.8482,0.5043,0.7099,1.2142,46,1.8328,3.104,0.642,54.999,21.874,28,1.1156,2.192,0.262,62.563,64.715,25.199012,13.163951,7.452346,3.839012,1.40642,0.596543,0.000494,-0.032416
No_Anneal_0009.ibw,No_Anneal,5.0098,5.0098,25.0979,9.7847,0.2247,0.9783,0.630349,0.792337,9.987195,3.604318,-0.2174,3.4703,-5.445991,4.541204,0.0,-1.8804,0.0273,1.7239,-1.9861,1.8612,0.4608,0.1125,0.5733,47,1.8727,2.959,0.679,51.266,22.472,19,0.757,2.145,0.129,39.619,17.972,28.004938,16.712593,10.907654,6.81037,2.876049,0.618765,0.0,-0.022809
